NOPD_Item,Type,TypeText,Priority,InitialType,InitialTypeText,InitialPriority,MapX,MapY,TimeCreate,TimeDispatch,TimeArrive,TimeClosed,Disposition,DispositionText,SelfInitiated,Beat,BLOCK_ADDRESS,Zip,PoliceDistrict,Location
D0399720,63,PROWLER,2E,67,THEFT,1G,3706520,515444,04/04/2020 05:10:14 AM,04/04/2020 05:29:41 AM,04/04/2020 05:36:24 AM,04/04/2020 06:54:51 AM,RTF,REPORT TO FOLLOW,N,4E03,042XX Maple Leaf Dr,70131,4,POINT (-89.98966136 29.91051126)
L0881020,24,MEDICAL,2D,21,COMPLAINT OTHER,1J,37369000,3513814,12/08/2020 04:15:32 AM,12/08/2020 04:16:53 AM,12/08/2020 04:18:40 AM,12/08/2020 04:34:41 AM,NAT,Necessary Action Taken,N,6L01,020XX S Claiborne Ave,70125,6,POINT (0 0)
I2515720,21,COMPLAINT OTHER,1J,21,COMPLAINT OTHER,1J,3671773,536189,09/20/2020 04:56:01 AM,,,09/20/2020 05:00:12 AM,VOI,VOID,N,1L03,036XX Banks St,70119,1,POINT (-90.09862504 29.9686266)
E1641920,22B,BUSINESS CHECK,1K,22B,BUSINESS CHECK,1K,0,0,05/14/2020 05:23:58 AM,05/14/2020 05:23:58 AM,05/14/2020 05:23:58 AM,05/14/2020 05:59:17 AM,NAT,Necessary Action Taken,Y,None,079XX Chef Mentuer,None,0,POINT (0 0)
K2000320,67,THEFT,1G,67,THEFT,1G,3675879,532799,11/16/2020 05:36:25 AM,,,11/16/2020 09:39:20 AM,VOI,VOID,N,1G02,022XX Tulane Ave,70119,1,POINT (-90.08577486 29.95918235)
I0306520,22A,AREA CHECK,1K,22A,AREA CHECK,1K,0,0,09/03/2020 07:07:20 AM,09/03/2020 07:07:20 AM,09/03/2020 07:07:20 AM,09/03/2020 11:19:44 AM,NAT,Necessary Action Taken,Y,None,100-13XX Bourbon,None,0,POINT (0 0)
E3561420,103M,MENTAL PATIENT,2C,103,DISTURBANCE (OTHER),1C,37369000,3513814,05/29/2020 07:59:25 AM,05/29/2020 08:05:56 AM,05/29/2020 08:13:13 AM,05/29/2020 08:50:02 AM,NAT,Necessary Action Taken,N,3V03,059XX Pauline Dr,70126,3,POINT (0 0)
D0411820,22R,RESIDENCE CHECK,1K,22R,RESIDENCE CHECK,1K,37369000,3513814,04/04/2020 08:51:26 AM,04/04/2020 08:51:26 AM,04/04/2020 08:51:26 AM,04/04/2020 09:17:14 AM,NAT,Necessary Action Taken,Y,None,042XX St Ann,None,0,POINT (0 0)
L0897620,24,MEDICAL,2D,24,MEDICAL,2D,37369000,3513814,12/08/2020 08:16:20 AM,12/08/2020 08:16:20 AM,12/08/2020 08:18:59 AM,12/08/2020 09:48:23 AM,NAT,Necessary Action Taken,N,3Y02,Piedmont Dr & Montpelier St,70122,3,POINT (0 0)
E0038920,24,MEDICAL,2D,911,SILENT 911 CALL,2F,37369000,3513814,05/01/2020 09:17:28 AM,05/01/2020 09:18:24 AM,05/01/2020 09:27:00 AM,05/01/2020 09:49:43 AM,NAT,Necessary Action Taken,N,4D05,053XX Tullis Dr,70131,4,POINT (0 0)
K3326920,22A,AREA CHECK,1K,22A,AREA CHECK,1K,0,0,11/26/2020 09:06:40 AM,11/26/2020 09:06:40 AM,11/26/2020 09:06:40 AM,11/26/2020 09:09:56 AM,NAT,Necessary Action Taken,Y,None,Camp St & Julia St,None,0,POINT (0 0)
A0044320,24,MEDICAL,2D,24,MEDICAL,2D,37369000,3513814,01/01/2020 07:25:57 AM,01/01/2020 07:25:57 AM,01/01/2020 07:25:57 AM,01/01/2020 09:24:56 AM,RTF,REPORT TO FOLLOW,Y,7I01,101XX Dwyer Rd,70127,7,POINT (0 0)
I3756420,103M,MENTAL PATIENT,2C,103D,DOMESTIC DISTURBANCE,2C,37369000,3513814,09/29/2020 09:34:11 AM,09/29/2020 09:34:11 AM,09/29/2020 09:34:11 AM,09/29/2020 10:47:05 AM,NAT,Necessary Action Taken,Y,2I02,047XX Loyola Ave,70115,2,POINT (0 0)
E0660420,99,RECKLESS DRIVING,1F,99,RECKLESS DRIVING,1F,3699436,557386,05/06/2020 10:11:53 AM,05/06/2020 11:11:15 AM,,05/06/2020 11:57:53 AM,GOA,GONE ON ARRIVAL,N,7Q01,I-10 E,70126,7,POINT (-90.01049068 30.02606104)
G2664320,22A,AREA CHECK,1K,22A,AREA CHECK,1K,0,0,07/22/2020 10:40:45 AM,07/22/2020 10:40:45 AM,07/22/2020 10:40:45 AM,07/22/2020 11:23:17 AM,NAT,Necessary Action Taken,Y,None,Navarre St & Marshall Foch,None,0,POINT (0 0)
L0909520,22A,AREA CHECK,1K,22A,AREA CHECK,1K,0,0,12/08/2020 09:50:53 AM,12/08/2020 09:50:53 AM,12/08/2020 09:50:53 AM,12/08/2020 12:08:35 PM,NAT,Necessary Action Taken,Y,None,Kingston & Sullen,None,0,POINT (0 0)
G0432520,TS,TRAFFIC STOP,1J,TS,TRAFFIC STOP,1J,37369000,3513814,07/04/2020 10:39:31 AM,07/04/2020 10:39:31 AM,07/04/2020 10:39:31 AM,07/04/2020 11:04:43 AM,VOI,VOID,Y,4E04,Approx Loc: 033XX Preston Pl,70131,0,POINT (0 0)
D0906420,22A,AREA CHECK,1K,22A,AREA CHECK,1K,0,0,04/08/2020 12:00:58 PM,04/08/2020 12:00:58 PM,04/08/2020 12:00:58 PM,04/08/2020 12:08:16 PM,NAT,Necessary Action Taken,Y,None,012XX Beinville Street,None,0,POINT (0 0)
K0574120,42,AGGRAVATED RAPE,2C,42,AGGRAVATED RAPE,2C,37369000,3513814,11/05/2020 10:42:57 AM,11/05/2020 10:42:57 AM,,11/05/2020 10:43:43 AM,RTF,REPORT TO FOLLOW,N,3S02,020XX Lakeshore Dr,70122,3,POINT (0 0)
E3584820,24,MEDICAL,2D,21,COMPLAINT OTHER,1J,37369000,3513814,05/29/2020 12:13:32 PM,05/29/2020 12:55:25 PM,05/29/2020 12:58:07 PM,05/29/2020 02:38:02 PM,NAT,Necessary Action Taken,N,5C03,015XX Louisa St,70117,5,POINT (0 0)
I0334420,24,MEDICAL,2D,21,COMPLAINT OTHER,1J,37369000,3513814,09/03/2020 11:44:06 AM,09/03/2020 11:53:16 AM,09/03/2020 12:01:53 PM,09/03/2020 12:13:14 PM,NAT,Necessary Action Taken,N,8I02,004XX Loyola Ave,70112,8,POINT (0 0)
I2556420,29S,SUICIDE,2A,29SA,SUICIDE ATTEMPT,2D,37369000,3513814,09/20/2020 01:26:03 PM,09/20/2020 01:32:40 PM,09/20/2020 01:38:18 PM,09/20/2020 03:31:45 PM,RTF,REPORT TO FOLLOW,N,1N03,027XX Ursulines Ave,70119,1,POINT (0 0)
I0335820,67,THEFT,0A,67,THEFT,1G,3680835,530868,09/03/2020 11:54:18 AM,09/03/2020 09:06:35 PM,09/03/2020 11:08:41 PM,09/03/2020 11:30:42 PM,GOA,GONE ON ARRIVAL,N,8I01,001XX Carondelet St,70112,8,POINT (-90.07019246 29.9537258)
D2864520,21J,MISSING JUVENILE,0A,21,COMPLAINT OTHER,1J,37369000,3513814,04/24/2020 01:08:53 PM,04/24/2020 01:54:59 PM,,04/24/2020 01:59:09 PM,GOA,GONE ON ARRIVAL,N,7D02,078XX W Laverne St,70126,7,POINT (0 0)
I1490520,24,MEDICAL,2D,24,MEDICAL,2D,37369000,3513814,09/12/2020 01:26:12 PM,09/12/2020 01:26:41 PM,09/12/2020 01:31:58 PM,09/12/2020 01:43:46 PM,NAT,Necessary Action Taken,N,4C02,040XX Behrman Pl,70114,4,POINT (0 0)
G1969320,22A,AREA CHECK,1K,22A,AREA CHECK,1K,0,0,07/16/2020 01:18:08 PM,07/16/2020 01:18:08 PM,07/16/2020 01:18:08 PM,07/16/2020 02:38:29 PM,NAT,Necessary Action Taken,Y,None,Poland & Chartres Street,None,0,POINT (0 0)
E3591820,24,MEDICAL,2D,NOPD,INCIDENT REQUESTED BY ANOTHER AGENCY,2A,37369000,3513814,05/29/2020 01:31:31 PM,,,05/29/2020 01:34:46 PM,DUP,DUPLICATE,N,5C03,015XX Louisa St,70117,5,POINT (0 0)
K3359920,22A,AREA CHECK,1K,22A,AREA CHECK,1K,0,0,11/26/2020 04:50:16 PM,11/26/2020 04:50:16 PM,11/26/2020 04:50:16 PM,11/26/2020 05:15:40 PM,NAT,Necessary Action Taken,Y,None,South Genois Street & Baudin Street,None,0,POINT (0 0)
D0452620,22A,AREA CHECK,1K,22A,AREA CHECK,1K,0,0,04/04/2020 04:42:39 PM,04/04/2020 04:42:39 PM,04/04/2020 04:42:39 PM,04/04/2020 05:17:20 PM,NAT,Necessary Action Taken,Y,None,Gentilly Blvd & St Roch,None,0,POINT (0 0)
D0453420,22B,BUSINESS CHECK,1K,22B,BUSINESS CHECK,1K,3661423,549952,04/04/2020 04:48:55 PM,04/04/2020 04:48:55 PM,04/04/2020 04:48:55 PM,04/04/2020 05:18:51 PM,NAT,Necessary Action Taken,Y,None,007XX Harrison Ave,None,0,POINT (-90.13085389 30.00677428)
I1508120,22A,AREA CHECK,1K,22A,AREA CHECK,1K,0,0,09/12/2020 04:15:17 PM,09/12/2020 04:15:17 PM,09/12/2020 04:15:17 PM,09/12/2020 04:42:02 PM,NAT,Necessary Action Taken,Y,None,Harrison Ave & Canal Street,None,0,POINT (0 0)
A0078420,52F,FIRE,1D,52F,FIRE,1D,3689899,535264,01/01/2020 01:40:02 PM,,,01/01/2020 02:07:18 PM,VOI,VOID,N,5C04,033XX N Rampart St,70117,5,POINT (-90.04141599 29.96553392)
H1506920,TS,TRAFFIC STOP,1J,TS,TRAFFIC STOP,1J,37369000,3513814,08/13/2020 03:53:48 PM,08/13/2020 03:53:48 PM,08/13/2020 03:53:48 PM,08/13/2020 03:55:42 PM,VOI,VOID,Y,3E01,Approx Loc: 052XX Canal Blvd,70124,0,POINT (0 0)
I0358020,21,COMPLAINT OTHER,1J,21,COMPLAINT OTHER,1J,3686383,525518,09/03/2020 03:36:09 PM,,,09/03/2020 03:36:51 PM,VOI,VOID,N,4A06,US90B E,None,4,POINT (-90.05286291 29.93884564)
A0081220,21J,MISSING JUVENILE,1C,21J,MISSING JUVENILE,1C,37369000,3513814,01/01/2020 02:00:04 PM,,,01/01/2020 02:39:44 PM,VOI,VOID,N,1C01,021XX Lapeyrouse St,70119,1,POINT (0 0)
E1192520,22A,AREA CHECK,1K,22A,AREA CHECK,1K,0,0,05/10/2020 07:22:31 PM,05/10/2020 07:22:31 PM,05/10/2020 07:22:31 PM,05/10/2020 07:37:29 PM,NAT,Necessary Action Taken,Y,None,State & Loyola,None,0,POINT (0 0)
F1956320,24,MEDICAL,2D,24,MEDICAL,2D,37369000,3513814,06/16/2020 01:58:43 PM,,,06/16/2020 02:26:45 PM,VOI,VOID,N,7F02,048XX Laine Ave,70126,7,POINT (0 0)
F3510220,42,AGGRAVATED RAPE,1A,42,AGGRAVATED RAPE,2C,37369000,3513814,06/28/2020 06:43:57 PM,06/28/2020 07:34:53 PM,06/28/2020 07:51:08 PM,06/28/2020 10:57:18 PM,RTF,REPORT TO FOLLOW,N,7C01,060XX Chef Menteur Hwy,None,0,POINT (0 0)
D0468820,22A,AREA CHECK,1K,22A,AREA CHECK,1K,0,0,04/04/2020 07:24:50 PM,04/04/2020 07:24:50 PM,04/04/2020 07:24:50 PM,04/04/2020 07:52:49 PM,NAT,Necessary Action Taken,Y,None,Gentilly Blvd & New Orleans,None,0,POINT (0 0)
I1521320,22A,AREA CHECK,1K,22A,AREA CHECK,1K,0,0,09/12/2020 06:11:22 PM,09/12/2020 06:11:22 PM,09/12/2020 06:11:22 PM,09/12/2020 06:46:37 PM,NAT,Necessary Action Taken,Y,None,Catina & Bragg,None,0,POINT (0 0)
G1994520,103M,MENTAL PATIENT,2C,63,PROWLER,2E,37369000,3513814,07/16/2020 05:30:03 PM,07/16/2020 05:33:55 PM,07/16/2020 05:38:57 PM,07/16/2020 06:41:44 PM,NAT,Necessary Action Taken,N,3T01,042XX Elysian Fields Ave,70122,3,POINT (0 0)
E2995920,24,MEDICAL,2D,24,MEDICAL,2D,37369000,3513814,05/24/2020 07:39:39 PM,05/24/2020 07:39:39 PM,05/24/2020 07:39:39 PM,05/24/2020 07:56:31 PM,NAT,Necessary Action Taken,Y,8I02,Gravier St & Loyola Ave,70112,8,POINT (0 0)
E0710820,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3661695,536087,05/06/2020 06:34:39 PM,05/06/2020 06:34:39 PM,05/06/2020 06:34:39 PM,05/06/2020 06:36:42 PM,NAT,Necessary Action Taken,Y,JEFF,018XX Earhart Expy,None,2,POINT (-90.13045484 29.96864051)
D2899020,22A,AREA CHECK,1K,22A,AREA CHECK,1K,0,0,04/24/2020 07:03:24 PM,04/24/2020 07:03:24 PM,04/24/2020 07:03:24 PM,04/24/2020 07:49:15 PM,NAT,Necessary Action Taken,Y,None,Magazine & Common,None,0,POINT (0 0)
D2389920,24,MEDICAL,2D,63,PROWLER,2E,37369000,3513814,04/20/2020 07:13:31 PM,04/20/2020 07:14:39 PM,04/20/2020 07:17:58 PM,04/20/2020 07:42:41 PM,NAT,Necessary Action Taken,N,8E01,008XX Royal St,70116,8,POINT (0 0)
E1714120,22A,AREA CHECK,1K,22A,AREA CHECK,1K,0,0,05/14/2020 07:04:43 PM,05/14/2020 07:04:43 PM,05/14/2020 07:04:43 PM,05/14/2020 07:35:42 PM,NAT,Necessary Action Taken,Y,None,Maple & Adams,None,0,POINT (0 0)
I0373520,24,MEDICAL,2D,103,DISTURBANCE (OTHER),1C,37369000,3513814,09/03/2020 05:49:59 PM,09/03/2020 05:51:17 PM,09/03/2020 05:55:20 PM,09/03/2020 06:32:07 PM,NAT,Necessary Action Taken,N,3C02,Avenue A & 36th St,70124,3,POINT (0 0)
H0687320,100,HIT & RUN,1G,100,HIT & RUN,1G,37369000,3513814,08/06/2020 05:59:16 PM,08/06/2020 06:13:03 PM,08/06/2020 06:14:36 PM,08/06/2020 07:19:20 PM,RTF,REPORT TO FOLLOW,N,8C03,005XX Wilkinson St,70130,0,POINT (0 0)
I0377420,22B,BUSINESS CHECK,1K,22B,BUSINESS CHECK,1K,0,0,09/03/2020 06:31:25 PM,09/03/2020 06:31:25 PM,09/03/2020 06:31:25 PM,09/03/2020 08:00:59 PM,NAT,Necessary Action Taken,Y,None,035XX Gen Degaulle,None,0,POINT (0 0)
C3663720,22A,AREA CHECK,1K,22A,AREA CHECK,1K,0,0,03/30/2020 08:38:47 PM,03/30/2020 08:38:47 PM,03/30/2020 08:38:47 PM,03/30/2020 08:53:23 PM,NAT,Necessary Action Taken,Y,None,S Claiborne & Delachaise,None,0,POINT (0 0)
D1921720,21,COMPLAINT OTHER,1J,21,COMPLAINT OTHER,1J,0,0,04/16/2020 07:05:26 PM,04/16/2020 07:05:26 PM,04/16/2020 07:05:26 PM,04/16/2020 07:41:30 PM,NAT,Necessary Action Taken,Y,None,030XX Block Toledano,None,0,POINT (0 0)
F0767220,20I,AUTO ACCIDENT WITH INJURY,2D,20I,AUTO ACCIDENT WITH INJURY,2D,3668457,536603,06/07/2020 10:48:50 AM,06/07/2020 10:53:01 AM,06/07/2020 10:56:13 AM,06/07/2020 02:00:45 PM,RTF,REPORT TO FOLLOW,N,3D01,I-10 W & Airline Hwy,70119,3,POINT (-90.10908234 29.96986282)
F0780120,100,HIT & RUN,1G,100,HIT & RUN,1G,3691344,550506,06/07/2020 01:08:53 PM,06/07/2020 01:08:53 PM,06/07/2020 01:08:53 PM,06/07/2020 01:09:13 PM,RTF,REPORT TO FOLLOW,Y,3U03,Stephen Girard Ave & General Early Dr,70126,3,POINT (-90.03630747 30.00739871)
F0785920,100I,HIT & RUN WITH INJURIES,2D,20I,AUTO ACCIDENT WITH INJURY,2D,3676312,531058,06/07/2020 02:04:00 PM,06/07/2020 02:05:07 PM,06/07/2020 02:15:36 PM,06/07/2020 03:56:41 PM,RTF,REPORT TO FOLLOW,N,1G01,I-10 W & Poydras St,70112,1,POINT (-90.08446591 29.95438411)
F0797120,20I,AUTO ACCIDENT WITH INJURY,2D,20,AUTO ACCIDENT,1E,3678420,527630,06/07/2020 03:53:54 PM,06/07/2020 03:56:53 PM,06/07/2020 04:04:53 PM,06/07/2020 06:35:44 PM,RTF,REPORT TO FOLLOW,N,6H05,Us 90B E & Loyola Ave,70113,6,POINT (-90.07793005 29.94489476)
F0814920,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3687448,527979,06/07/2020 07:00:56 PM,06/07/2020 07:00:56 PM,06/07/2020 07:00:56 PM,06/08/2020 01:12:58 AM,NAT,Necessary Action Taken,Y,4A02,Newton St & Vallette St,None,4,POINT (-90.04941245 29.94557722)
F0823820,35D,SIMPLE BATTERY DOMESTIC,1A,37,AGGRAVATED ASSAULT,2E,3716351,566194,06/07/2020 08:19:33 PM,06/07/2020 08:42:07 PM,06/07/2020 08:49:54 PM,06/08/2020 12:25:18 AM,RTF,REPORT TO FOLLOW,N,7K03,123XX N I-10 Service Rd,70128,7,POINT (-89.95670651 30.04973218)
F0826020,22B,BUSINESS CHECK,1K,22B,BUSINESS CHECK,1K,3696900,515659,06/07/2020 08:33:55 PM,06/07/2020 08:33:55 PM,06/07/2020 08:33:55 PM,06/08/2020 06:56:05 AM,NAT,Necessary Action Taken,Y,4C02,040XX Behrman Pl,70114,4,POINT (-90.02001393 29.91140877)
F0826220,22D,DIRECTED PATROL,1J,22D,DIRECTED PATROL,1J,3713368,554841,06/07/2020 08:35:11 PM,06/07/2020 08:35:11 PM,06/07/2020 08:35:17 PM,06/08/2020 08:28:22 PM,NAT,Necessary Action Taken,N,7J01,102XX Chef Menteur Hwy,70129,7,POINT (-89.9665646 30.01861537)
F0826320,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3701800,523444,06/07/2020 08:35:36 PM,06/07/2020 08:35:36 PM,06/07/2020 08:35:36 PM,06/08/2020 06:56:13 AM,NAT,Necessary Action Taken,Y,4K02,048XX General Meyer Ave,70131,4,POINT (-90.00426385 29.93265831)
